year,city,total_population,migration_population,ratio
2007,三门峡(4112),123930,4754,3.84
2008,三门峡(4112),123051,4586,3.73
2009,三门峡(4112),121212,4265,3.52
2010,三门峡(4112),115683,3909,3.38
2011,三门峡(4112),120646,4125,3.42
2012,三门峡(4112),123902,4422,3.57
2013,三门峡(4112),128596,4637,3.61
2014,三门峡(4112),132809,4745,3.57
2015,三门峡(4112),129754,4745,3.66
2016,三门峡(4112),128728,4761,3.7
2017,三门峡(4112),128275,4762,3.71
2018,三门峡(4112),126621,4762,3.76
2019,三门峡(4112),124237,4745,3.82
2020,三门峡(4112),197749,7558,3.82
2000,上海(3100),10937056,2964489,27.1
2001,上海(3100),12088163,3641486,30.12
2002,上海(3100),13325663,4427395,33.22
2003,上海(3100),14583943,5250069,36.0
2004,上海(3100),15805400,6048676,38.27
2005,上海(3100),17453337,7098587,40.67
2006,上海(3100),20104762,8550874,42.53
2007,上海(3100),22661331,9904535,43.71
2008,上海(3100),25498639,11536287,45.24
2009,上海(3100),28531275,13360794,46.83
2010,上海(3100),30586926,14632876,47.84
2011,上海(3100),31185213,14581366,46.76
2012,上海(3100),31502405,14465634,45.92
2013,上海(3100),32157230,14470804,45.0
2014,上海(3100),32999483,14735448,44.65
2015,上海(3100),32312122,14481306,44.82
2016,上海(3100),31955864,14269424,44.65
2017,上海(3100),31835759,14221590,44.67
2018,上海(3100),31352656,13954824,44.51
2019,上海(3100),30642361,13605684,44.4
2020,上海(3100),48706973,21563950,44.27
2000,上饶(3611),106677,984,0.92
2001,上饶(3611),111012,1084,0.98
2002,上饶(3611),114845,1249,1.09
2003,上饶(3611),119150,1477,1.24
2004,上饶(3611),123328,1684,1.37
2005,上饶(3611),129576,1848,1.43
2006,上饶(3611),143806,2272,1.58
2007,上饶(3611),157807,2596,1.65
2008,上饶(3611),171653,3089,1.8
2009,上饶(3611),186421,3492,1.87
2010,上饶(3611),195488,3872,1.98
2011,上饶(3611),203282,3984,1.96
2012,上饶(3611),208681,4113,1.97
2013,上饶(3611),216607,4301,1.99
2014,上饶(3611),223988,4532,2.02
2015,上饶(3611),218510,4421,2.02
2016,上饶(3611),216569,4301,1.99
2017,上饶(3611),215881,4301,1.99
2018,上饶(3611),213284,4300,2.02
2019,上饶(3611),208811,4237,2.03
2020,上饶(3611),332838,6849,2.06
2000,东莞(4419),0,0,nan
2001,东莞(4419),0,0,nan
2002,东莞(4419),0,0,nan
2003,东莞(4419),0,0,nan
2004,东莞(4419),0,0,nan
2005,东莞(4419),0,0,nan
2006,东莞(4419),0,0,nan
2007,东莞(4419),0,0,nan
2008,东莞(4419),0,0,nan
2009,东莞(4419),0,0,nan
2010,东莞(4419),0,0,nan
2011,东莞(4419),0,0,nan
2012,东莞(4419),0,0,nan
2013,东莞(4419),0,0,nan
2014,东莞(4419),0,0,nan
2015,东莞(4419),0,0,nan
2016,东莞(4419),0,0,nan
2017,东莞(4419),0,0,nan
2018,东莞(4419),0,0,nan
2019,东莞(4419),0,0,nan
2020,东莞(4419),0,0,nan
2000,东营(3705),359460,35614,9.91
2001,东营(3705),354150,36691,10.36
2002,东营(3705),351822,38214,10.86
2003,东营(3705),351071,39647,11.29
2004,东营(3705),352504,41274,11.71
2005,东营(3705),361483,43878,12.14
2006,东营(3705),391433,49221,12.57
2007,东营(3705),421488,55021,13.05
2008,东营(3705),451886,61219,13.55
2009,东营(3705),481888,67606,14.03
2010,东营(3705),498472,72237,14.49
2011,东营(3705),517708,74021,14.3
2012,东营(3705),530356,75120,14.16
2013,东营(3705),550302,77655,14.11
2014,东营(3705),567309,79311,13.98
2015,东营(3705),553541,76856,13.88
2016,东营(3705),548299,75427,13.76
2017,东营(3705),545056,74414,13.65
2018,东营(3705),538001,72893,13.55
2019,东营(3705),526417,71223,13.53
2020,东营(3705),837657,112653,13.45
2000,中卫(6405),0,0,nan
2001,中卫(6405),0,0,nan
2002,中卫(6405),0,0,nan
2003,中卫(6405),0,0,nan
2004,中卫(6405),0,0,nan
2005,中卫(6405),0,0,nan
2006,中卫(6405),0,0,nan
2007,中卫(6405),0,0,nan
2008,中卫(6405),0,0,nan
2009,中卫(6405),0,0,nan
2010,中卫(6405),0,0,nan
2011,中卫(6405),0,0,nan
2012,中卫(6405),0,0,nan
2013,中卫(6405),0,0,nan
2014,中卫(6405),0,0,nan
2015,中卫(6405),0,0,nan
2016,中卫(6405),0,0,nan
2017,中卫(6405),0,0,nan
2018,中卫(6405),0,0,nan
2019,中卫(6405),0,0,nan
2020,中卫(6405),0,0,nan
2000,中山(4420),0,0,nan
2001,中山(4420),0,0,nan
2002,中山(4420),0,0,nan
2003,中山(4420),0,0,nan
2004,中山(4420),0,0,nan
2005,中山(4420),0,0,nan
2006,中山(4420),0,0,nan
2007,中山(4420),0,0,nan
2008,中山(4420),0,0,nan
2009,中山(4420),0,0,nan
2010,中山(4420),0,0,nan
2011,中山(4420),0,0,nan
2012,中山(4420),0,0,nan
2013,中山(4420),0,0,nan
2014,中山(4420),0,0,nan
2015,中山(4420),0,0,nan
2016,中山(4420),0,0,nan
2017,中山(4420),0,0,nan
2018,中山(4420),0,0,nan
2019,中山(4420),0,0,nan
2020,中山(4420),0,0,nan
2000,临汾(1410),185089,4649,2.51
2001,临汾(1410),184162,4897,2.66
2002,临汾(1410),185001,5229,2.83
2003,临汾(1410),186469,5733,3.07
2004,临汾(1410),188487,5985,3.18
2005,临汾(1410),194542,6593,3.39
2006,临汾(1410),211888,7621,3.6
2007,临汾(1410),229063,8673,3.79
2008,临汾(1410),246167,9702,3.94
2009,临汾(1410),263052,10742,4.08
2010,临汾(1410),272665,11374,4.17
2011,临汾(1410),284037,11962,4.21
2012,临汾(1410),291547,12438,4.27
2013,临汾(1410),302592,13058,4.32
2014,临汾(1410),312791,13607,4.35
2015,临汾(1410),305423,13342,4.37
2016,临汾(1410),302873,13306,4.39
2017,临汾(1410),301761,13342,4.42
2018,临汾(1410),298336,13354,4.48
2019,临汾(1410),292255,13186,4.51
2020,临汾(1410),465640,21191,4.55
2000,临沂(3713),330290,5900,1.79
2001,临沂(3713),344984,7064,2.05
2002,临沂(3713),359298,8237,2.29
2003,临沂(3713),373754,9441,2.53
2004,临沂(3713),388773,10897,2.8
2005,临沂(3713),410721,12492,3.04
2006,临沂(3713),456440,14841,3.25
2007,临沂(3713),502499,17617,3.51
2008,临沂(3713),548893,20465,3.73
2009,临沂(3713),595272,23521,3.95
2010,临沂(3713),625109,25742,4.12
2011,临沂(3713),650659,26718,4.11
2012,临沂(3713),667301,27278,4.09
2013,临沂(3713),692698,28245,4.08
2014,临沂(3713),715092,28949,4.05
2015,临沂(3713),697922,28030,4.02
2016,临沂(3713),691895,27433,3.96
2017,临沂(3713),688738,26925,3.91
2018,临沂(3713),680132,26557,3.9
2019,临沂(3713),665804,25798,3.87
2020,临沂(3713),1059475,39854,3.76
2000,临沧(5309),0,0,nan
2001,临沧(5309),0,0,nan
2002,临沧(5309),0,0,nan
2003,临沧(5309),0,0,nan
2004,临沧(5309),0,0,nan
2005,临沧(5309),0,0,nan
2006,临沧(5309),0,0,nan
2007,临沧(5309),0,0,nan
2008,临沧(5309),0,0,nan
2009,临沧(5309),0,0,nan
2010,临沧(5309),0,0,nan
2011,临沧(5309),0,0,nan
2012,临沧(5309),0,0,nan
2013,临沧(5309),0,0,nan
2014,临沧(5309),0,0,nan
2015,临沧(5309),0,0,nan
2016,临沧(5309),0,0,nan
2017,临沧(5309),0,0,nan
2018,临沧(5309),0,0,nan
2019,临沧(5309),0,0,nan
2020,临沧(5309),0,0,nan
2000,丹东(2106),158102,5357,3.39
2001,丹东(2106),166673,6493,3.9
2002,丹东(2106),175373,7765,4.43
2003,丹东(2106),184333,9037,4.9
2004,丹东(2106),192844,10422,5.4
2005,丹东(2106),204803,11956,5.84
2006,丹东(2106),229012,14524,6.34
2007,丹东(2106),253451,17316,6.83
2008,丹东(2106),278526,20437,7.34
2009,丹东(2106),303387,23703,7.81
2010,丹东(2106),320437,26723,8.34
2011,丹东(2106),333720,27819,8.34
2012,丹东(2106),342321,28567,8.35
2013,丹东(2106),355628,29792,8.38
2014,丹东(2106),367320,30906,8.41
2015,丹东(2106),358589,30229,8.43
2016,丹东(2106),355917,30068,8.45
2017,丹东(2106),354595,30117,8.49
2018,丹东(2106),350170,29669,8.47
2019,丹东(2106),343066,29329,8.55
2020,丹东(2106),551253,51337,9.31
2000,丽水(3311),148728,5417,3.64
2001,丽水(3311),173498,7875,4.54
2002,丽水(3311),196480,10662,5.43
2003,丽水(3311),218070,13640,6.25
2004,丽水(3311),238433,17016,7.14
2005,丽水(3311),262812,20890,7.95
2006,丽水(3311),303192,26710,8.81
2007,丽水(3311),344684,33262,9.65
2008,丽水(3311),391187,44273,11.32
2009,丽水(3311),435797,53708,12.32
2010,丽水(3311),469219,62281,13.27
2011,丽水(3311),487098,63631,13.06
2012,丽水(3311),498222,63806,12.81
2013,丽水(3311),516064,64896,12.58
2014,丽水(3311),531380,65598,12.34
2015,丽水(3311),517474,62740,12.12
2016,丽水(3311),512039,60887,11.89
2017,丽水(3311),508891,59675,11.73
2018,丽水(3311),501669,57832,11.53
2019,丽水(3311),490506,55760,11.37
2020,丽水(3311),779770,87622,11.24
2000,丽江(5307),0,0,nan
2001,丽江(5307),0,0,nan
2002,丽江(5307),0,0,nan
2003,丽江(5307),0,0,nan
2004,丽江(5307),0,0,nan
2005,丽江(5307),0,0,nan
2006,丽江(5307),0,0,nan
2007,丽江(5307),0,0,nan
2008,丽江(5307),0,0,nan
2009,丽江(5307),0,0,nan
2010,丽江(5307),0,0,nan
2011,丽江(5307),0,0,nan
2012,丽江(5307),0,0,nan
2013,丽江(5307),0,0,nan
2014,丽江(5307),0,0,nan
2015,丽江(5307),0,0,nan
2016,丽江(5307),0,0,nan
2017,丽江(5307),0,0,nan
2018,丽江(5307),0,0,nan
2019,丽江(5307),0,0,nan
2020,丽江(5307),0,0,nan
2000,乌兰察布(1509),0,0,nan
2001,乌兰察布(1509),0,0,nan
2002,乌兰察布(1509),0,0,nan
2003,乌兰察布(1509),0,0,nan
2004,乌兰察布(1509),0,0,nan
2005,乌兰察布(1509),0,0,nan
2006,乌兰察布(1509),0,0,nan
2007,乌兰察布(1509),0,0,nan
2008,乌兰察布(1509),0,0,nan
2009,乌兰察布(1509),0,0,nan
2010,乌兰察布(1509),0,0,nan
2011,乌兰察布(1509),0,0,nan
2012,乌兰察布(1509),0,0,nan
2013,乌兰察布(1509),0,0,nan
2014,乌兰察布(1509),0,0,nan
2015,乌兰察布(1509),0,0,nan
2016,乌兰察布(1509),0,0,nan
2017,乌兰察布(1509),0,0,nan
2018,乌兰察布(1509),0,0,nan
2019,乌兰察布(1509),0,0,nan
2020,乌兰察布(1509),0,0,nan
2000,乌海(1503),141663,21125,14.91
2001,乌海(1503),153795,26273,17.08
2002,乌海(1503),166699,32046,19.22
2003,乌海(1503),179715,38403,21.37
2004,乌海(1503),192964,44998,23.32
2005,乌海(1503),210115,52948,25.2
2006,乌海(1503),240686,65277,27.12
2007,乌海(1503),272802,78763,28.87
2008,乌海(1503),305997,93696,30.62
2009,乌海(1503),341409,110677,32.42
2010,乌海(1503),354522,111616,31.48
2011,乌海(1503),366845,113995,31.07
2012,乌海(1503),374033,114711,30.67
2013,乌海(1503),387073,117774,30.43
2014,乌海(1503),399295,121239,30.36
2015,乌海(1503),389226,117828,30.27
2016,乌海(1503),385439,116181,30.14
2017,乌海(1503),383096,114906,29.99
2018,乌海(1503),377839,112967,29.9
2019,乌海(1503),369075,109795,29.75
2020,乌海(1503),592005,178943,30.23
2000,乌鲁木齐(6501),1549058,448427,28.95
2001,乌鲁木齐(6501),1641009,511097,31.15
2002,乌鲁木齐(6501),1737979,576772,33.19
2003,乌鲁木齐(6501),1839134,645320,35.09
2004,乌鲁木齐(6501),1944132,716880,36.87
2005,乌鲁木齐(6501),2090445,805618,38.54
2006,乌鲁木齐(6501),2365383,948574,40.1
2007,乌鲁木齐(6501),2649777,1101497,41.57
2008,乌鲁木齐(6501),2928759,1249186,42.65
2009,乌鲁木齐(6501),3202552,1392038,43.47
2010,乌鲁木齐(6501),3258151,1367174,41.96
2011,乌鲁木齐(6501),3316791,1348777,40.67
2012,乌鲁木齐(6501),3309668,1290455,38.99
2013,乌鲁木齐(6501),3367520,1271295,37.75
2014,乌鲁木齐(6501),3436456,1271673,37.01
2015,乌鲁木齐(6501),3343913,1230359,36.79
2016,乌鲁木齐(6501),3333420,1237097,37.11
2017,乌鲁木齐(6501),3328181,1240570,37.27
2018,乌鲁木齐(6501),3286535,1224511,37.26
2019,乌鲁木齐(6501),3193710,1174459,36.77
2020,乌鲁木齐(6501),4746070,1529016,32.22
2000,乐山(5111),166558,4412,2.65
2001,乐山(5111),170428,5041,2.96
2002,乐山(5111),174692,5721,3.27
2003,乐山(5111),179333,6249,3.48
2004,乐山(5111),184413,7105,3.85
2005,乐山(5111),193082,7870,4.08
2006,乐山(5111),213004,9349,4.39
2007,乐山(5111),232968,10934,4.69
2008,乐山(5111),252944,12598,4.98
2009,乐山(5111),273384,14350,5.25
2010,乐山(5111),286355,16542,5.78
2011,乐山(5111),298207,17207,5.77
2012,乐山(5111),305766,17603,5.76
2013,乐山(5111),317417,18308,5.77
2014,乐山(5111),328148,19028,5.8
2015,乐山(5111),320180,18559,5.8
2016,乐山(5111),317781,18491,5.82
2017,乐山(5111),316530,18455,5.83
2018,乐山(5111),312396,18308,5.86
2019,乐山(5111),306221,18036,5.89
2020,乐山(5111),487762,28726,5.89
2000,九江(3604),205751,5077,2.47
2001,九江(3604),205174,5417,2.64
2002,九江(3604),205827,5821,2.83
2003,九江(3604),207895,6205,2.98
2004,九江(3604),209590,6589,3.14
2005,九江(3604),216169,7249,3.35
2006,九江(3604),235521,8293,3.52
2007,九江(3604),254599,9349,3.67
2008,九江(3604),273561,10537,3.85
2009,九江(3604),292578,11749,4.02
2010,九江(3604),303580,12962,4.27
2011,九江(3604),315969,13478,4.27
2012,九江(3604),324205,13782,4.25
2013,九江(3604),336688,14426,4.28
2014,九江(3604),347581,14870,4.28
2015,九江(3604),339428,14590,4.3
2016,九江(3604),336837,14575,4.33
2017,九江(3604),335470,14539,4.33
2018,九江(3604),331365,14378,4.34
2019,九江(3604),324607,14142,4.36
2020,九江(3604),517153,22642,4.38
2000,云浮(4453),106136,2712,2.56
2001,云浮(4453),104368,2813,2.7
2002,云浮(4453),103513,2972,2.87
2003,云浮(4453),103478,3101,3.0
2004,云浮(4453),103105,3145,3.05
2005,云浮(4453),105585,3429,3.25
2006,云浮(4453),114217,3873,3.39
2007,云浮(4453),122488,4349,3.55
2008,云浮(4453),130889,4897,3.74
2009,云浮(4453),139281,5466,3.92
2010,云浮(4453),143401,5834,4.07
2011,云浮(4453),149400,5950,3.98
2012,云浮(4453),153101,5978,3.9
2013,云浮(4453),158848,6257,3.94
2014,云浮(4453),164282,6614,4.03
2015,云浮(4453),160445,6493,4.05
2016,云浮(4453),159040,6454,4.06
2017,云浮(4453),158279,6369,4.02
2018,云浮(4453),156419,6261,4.0
2019,云浮(4453),153137,6037,3.94
2020,云浮(4453),244051,9783,4.01
2000,亳州(3416),31628,16,0.05
2001,亳州(3416),32760,16,0.05
2002,亳州(3416),33945,28,0.08
2003,亳州(3416),34761,64,0.18
2004,亳州(3416),36449,80,0.22
2005,亳州(3416),38006,100,0.26
2006,亳州(3416),42220,164,0.39
2007,亳州(3416),46349,204,0.44
2008,亳州(3416),50156,348,0.69
2009,亳州(3416),54454,348,0.64
2010,亳州(3416),57331,424,0.74
2011,亳州(3416),59635,460,0.77
2012,亳州(3416),61282,532,0.87
2013,亳州(3416),63492,548,0.86
2014,亳州(3416),65685,548,0.83
2015,亳州(3416),64148,548,0.85
2016,亳州(3416),63480,536,0.84
2017,亳州(3416),63324,532,0.84
2018,亳州(3416),62556,532,0.85
2019,亳州(3416),61210,460,0.75
2020,亳州(3416),97487,724,0.74
2000,伊春(2307),118468,5980,5.05
2001,伊春(2307),106058,5306,5.0
2002,伊春(2307),95450,4742,4.97
2003,伊春(2307),87178,4198,4.82
2004,伊春(2307),80059,3866,4.83
2005,伊春(2307),74976,3494,4.66
2006,伊春(2307),74358,3391,4.56
2007,伊春(2307),73666,3226,4.38
2008,伊春(2307),72359,3194,4.41
2009,伊春(2307),70982,3113,4.39
2010,伊春(2307),67190,2814,4.19
2011,伊春(2307),70241,3066,4.36
2012,伊春(2307),72019,3158,4.38
2013,伊春(2307),74681,3250,4.35
2014,伊春(2307),77371,3458,4.47
2015,伊春(2307),75442,3446,4.57
2016,伊春(2307),74939,3527,4.71
2017,伊春(2307),74981,3730,4.97
2018,伊春(2307),73960,3702,5.01
2019,伊春(2307),72584,3706,5.11
2020,伊春(2307),115738,5954,5.14
2000,佛山(4406),6874324,2840233,41.32
2001,佛山(4406),6872458,2933652,42.69
2002,佛山(4406),6998424,3119418,44.57
2003,佛山(4406),7172254,3327875,46.4
2004,佛山(4406),7352714,3524110,47.93
2005,佛山(4406),7774970,3878352,49.88
2006,佛山(4406),8409354,4218202,50.16
2007,佛山(4406),9017416,4536897,50.31
2008,佛山(4406),9582410,4817763,50.28
2009,佛山(4406),10107226,5061538,50.08
2010,佛山(4406),10313339,5128855,49.73
2011,佛山(4406),10183651,4788090,47.02
2012,佛山(4406),10058374,4522239,44.96
2013,佛山(4406),10162604,4415142,43.44
2014,佛山(4406),10257649,4322468,42.14
2015,佛山(4406),9891329,4096975,41.42
2016,佛山(4406),9729199,3981861,40.93
2017,佛山(4406),9504801,3780948,39.78
2018,佛山(4406),9216666,3563175,38.66
2019,佛山(4406),8923455,3387259,37.96
2020,佛山(4406),14138015,5317478,37.61
2000,佳木斯(2308),193499,8650,4.47
2001,佳木斯(2308),185468,8559,4.61
2002,佳木斯(2308),179552,8667,4.83
2003,佳木斯(2308),174929,8723,4.99
2004,佳木斯(2308),172129,8910,5.18
2005,佳木斯(2308),172792,9174,5.31
2006,佳木斯(2308),184070,10167,5.52
2007,佳木斯(2308),194559,11082,5.7
2008,佳木斯(2308),205308,12163,5.92
2009,佳木斯(2308),215563,13031,6.05
2010,佳木斯(2308),219824,13772,6.27
2011,佳木斯(2308),229055,14379,6.28
2012,佳木斯(2308),234887,14813,6.31
2013,佳木斯(2308),243997,15474,6.34
2014,佳木斯(2308),251951,16088,6.39
2015,佳木斯(2308),246186,15723,6.39
2016,佳木斯(2308),244216,15704,6.43
2017,佳木斯(2308),243313,15724,6.46
2018,佳木斯(2308),240481,15704,6.53
2019,佳木斯(2308),235618,15548,6.6
2020,佳木斯(2308),375533,24901,6.63
2000,保定(1306),623028,19597,3.15
2001,保定(1306),616103,20733,3.37
2002,保定(1306),613067,21941,3.58
2003,保定(1306),613593,23305,3.8
2004,保定(1306),616718,24601,3.99
2005,保定(1306),632544,26558,4.2
2006,保定(1306),685670,30126,4.39
2007,保定(1306),738292,33922,4.59
2008,保定(1306),790245,37866,4.79
2009,保定(1306),842133,41842,4.97
2010,保定(1306),869764,44271,5.09
2011,保定(1306),904887,45794,5.06
2012,保定(1306),928165,46631,5.02
2013,保定(1306),963352,48186,5.0
2014,保定(1306),994212,49318,4.96
2015,保定(1306),970655,47983,4.94
2016,保定(1306),962376,47210,4.91
2017,保定(1306),958146,46761,4.88
2018,保定(1306),946146,45902,4.85
2019,保定(1306),931455,49991,5.37
2020,保定(1306),1477131,72892,4.93
2000,保山(5305),87031,1645,1.89
2001,保山(5305),84880,1684,1.98
2002,保山(5305),83352,1736,2.08
2003,保山(5305),82178,1809,2.2
2004,保山(5305),81553,1848,2.27
2005,保山(5305),82954,1981,2.39
2006,保山(5305),89144,2272,2.55
2007,保山(5305),95079,2509,2.64
2008,保山(5305),101231,2676,2.64
2009,保山(5305),107094,3089,2.88
2010,保山(5305),109799,3157,2.88
2011,保山(5305),114360,3272,2.86
2012,保山(5305),117303,3345,2.85
2013,保山(5305),121781,3625,2.98
2014,保山(5305),125831,3817,3.03
2015,保山(5305),122929,3725,3.03
2016,保山(5305),121798,3649,3.0
2017,保山(5305),121407,3625,2.99
2018,保山(5305),119784,3625,3.03
2019,保山(5305),117452,3493,2.97
2020,保山(5305),187045,5761,3.08
2000,信阳(4115),115315,828,0.72
2001,信阳(4115),122794,1080,0.88
2002,信阳(4115),129693,1260,0.97
2003,信阳(4115),136089,1492,1.1
2004,信阳(4115),142436,1804,1.27
2005,信阳(4115),151983,2520,1.66
2006,信阳(4115),169522,3052,1.8
2007,信阳(4115),187536,3761,2.01
2008,信阳(4115),205950,4296,2.09
2009,信阳(4115),224051,4897,2.19
2010,信阳(4115),236225,6085,2.58
2011,信阳(4115),245877,6453,2.62
2012,信阳(4115),252492,6565,2.6
2013,信阳(4115),261952,6777,2.59
2014,信阳(4115),270592,6997,2.59
2015,信阳(4115),263997,6813,2.58
2016,信阳(4115),261799,6636,2.53
2017,信阳(4115),260760,6600,2.53
2018,信阳(4115),257485,6493,2.52
2019,信阳(4115),252410,6480,2.57
2020,信阳(4115),401892,10337,2.57
2000,儋州(4604),0,0,nan
2001,儋州(4604),0,0,nan
2002,儋州(4604),0,0,nan
2003,儋州(4604),0,0,nan
2004,儋州(4604),0,0,nan
2005,儋州(4604),0,0,nan
2006,儋州(4604),0,0,nan
2007,儋州(4604),0,0,nan
2008,儋州(4604),0,0,nan
2009,儋州(4604),0,0,nan
2010,儋州(4604),0,0,nan
2011,儋州(4604),0,0,nan
2012,儋州(4604),0,0,nan
2013,儋州(4604),0,0,nan
2014,儋州(4604),0,0,nan
2015,儋州(4604),0,0,nan
2016,儋州(4604),0,0,nan
2017,儋州(4604),0,0,nan
2018,儋州(4604),0,0,nan
2019,儋州(4604),0,0,nan
2020,儋州(4604),0,0,nan
2000,克拉玛依(6502),117719,15018,12.76
2001,克拉玛依(6502),119700,16684,13.94
2002,克拉玛依(6502),122302,18451,15.09
2003,克拉玛依(6502),124871,20238,16.21
2004,克拉玛依(6502),128527,22257,17.32
2005,克拉玛依(6502),134600,24837,18.45
2006,克拉玛依(6502),148996,29256,19.64
2007,克拉玛依(6502),163301,33871,20.74
2008,克拉玛依(6502),178235,39090,21.93
2009,克拉玛依(6502),193790,44516,22.97
2010,克拉玛依(6502),203595,49080,24.11
2011,克拉玛依(6502),212095,51200,24.14
2012,克拉玛依(6502),217790,52655,24.18
2013,克拉玛依(6502),226091,54576,24.14
2014,克拉玛依(6502),233437,56371,24.15
2015,克拉玛依(6502),227594,54911,24.13
2016,克拉玛依(6502),226036,54494,24.11
2017,克拉玛依(6502),224663,54014,24.04
2018,克拉玛依(6502),221578,53000,23.92
2019,克拉玛依(6502),216383,51349,23.73
2020,克拉玛依(6502),343104,80080,23.34
2000,六安(3415),55893,164,0.29
2001,六安(3415),70254,420,0.6
2002,六安(3415),82556,680,0.82
2003,六安(3415),93854,961,1.02
2004,六安(3415),104432,1196,1.15
2005,六安(3415),115883,1292,1.11
2006,六安(3415),134594,1809,1.34
2007,六安(3415),153588,2284,1.49
2008,六安(3415),172853,2812,1.63
2009,六安(3415),192293,3449,1.79
2010,六安(3415),208859,6365,3.05
2011,六安(3415),217538,6637,3.05
2012,六安(3415),223150,6949,3.11
2013,六安(3415),231771,7236,3.12
2014,六安(3415),239300,7441,3.11
2015,六安(3415),233708,7273,3.11
2016,六安(3415),231784,7249,3.13
2017,六安(3415),230818,7261,3.15
2018,六安(3415),228091,7249,3.18
2019,六安(3415),223329,7125,3.19
2020,六安(3415),355872,11362,3.19
2000,六盘水(5202),203167,7598,3.74
2001,六盘水(5202),206457,8450,4.09
2002,六盘水(5202),210162,9174,4.37
2003,六盘水(5202),214894,10033,4.67
2004,六盘水(5202),220021,11042,5.02
2005,六盘水(5202),229398,12599,5.49
2006,六盘水(5202),252802,14883,5.89
2007,六盘水(5202),275642,17471,6.34
2008,六盘水(5202),299041,20033,6.7
2009,六盘水(5202),322405,22865,7.09
2010,六盘水(5202),336960,25489,7.56
2011,六盘水(5202),350728,26294,7.5
2012,六盘水(5202),359533,26725,7.43
2013,六盘水(5202),373003,27466,7.36
2014,六盘水(5202),385018,28195,7.32
2015,六盘水(5202),375853,27426,7.3
2016,六盘水(5202),372391,26869,7.22
2017,六盘水(5202),370867,26662,7.19
2018,六盘水(5202),366093,26191,7.15
2019,六盘水(5202),358344,25522,7.12
2020,六盘水(5202),570862,40592,7.11
2000,兰州(6201),652954,70888,10.86
2001,兰州(6201),699458,86604,12.38
2002,兰州(6201),746248,103586,13.88
2003,兰州(6201),792646,121062,15.27
2004,兰州(6201),839090,138726,16.53
2005,兰州(6201),897941,157154,17.5
2006,兰州(6201),1009485,184287,18.26
2007,兰州(6201),1130378,220842,19.54
